ts	snmplinuxmeminfo_percent_available_memory
2021-06-17 07:03:47	47.0
2021-06-17 07:08:47	47.0
2021-06-17 07:13:47	47.0
2021-06-17 07:18:47	47.0
2021-06-17 07:23:47	47.0
2021-06-17 07:28:47	47.0
2021-06-17 07:33:47	47.0
2021-06-17 07:38:47	47.0
2021-06-17 07:43:47	47.0
2021-06-17 07:48:47	47.0
2021-06-17 07:53:47	47.0
2021-06-17 07:58:47	47.0
2021-06-17 08:03:47	47.0
2021-06-17 08:08:47	47.0
2021-06-17 08:13:47	47.0
2021-06-17 08:18:47	47.0
2021-06-17 08:23:47	47.0
2021-06-17 08:28:47	47.0
2021-06-17 08:33:47	47.0
2021-06-17 08:38:47	47.0
2021-06-17 08:43:47	47.0
2021-06-17 08:48:47	47.0
2021-06-17 08:53:47	47.0
2021-06-17 08:58:47	47.0
2021-06-17 09:03:47	47.0
2021-06-17 09:08:47	47.0
2021-06-17 09:13:47	47.0
2021-06-17 09:18:47	47.0
2021-06-17 09:23:47	47.0
2021-06-17 09:28:47	47.0
2021-06-17 09:33:47	47.0
2021-06-17 09:38:47	47.0
2021-06-17 09:43:47	47.0
2021-06-17 09:48:47	47.0
2021-06-17 09:53:47	47.0
2021-06-17 09:58:47	47.0
2021-06-17 10:03:47	47.0
2021-06-17 10:08:47	47.0
2021-06-17 10:13:47	47.0
2021-06-17 10:18:47	47.0
2021-06-17 10:23:47	47.0
2021-06-17 10:28:47	47.0
2021-06-17 10:33:47	47.0
2021-06-17 10:38:47	47.0
2021-06-17 10:43:47	47.0
2021-06-17 10:48:47	47.0
2021-06-17 10:53:47	47.0
2021-06-17 10:58:47	47.0
2021-06-17 11:03:47	47.0
2021-06-17 11:08:47	47.0
2021-06-17 11:13:47	47.0
2021-06-17 11:18:47	47.0
2021-06-17 11:23:47	47.0
2021-06-17 11:28:47	47.0
2021-06-17 11:33:47	47.0
2021-06-17 11:38:47	47.0
2021-06-17 11:43:47	47.0
2021-06-17 11:48:47	47.0
2021-06-17 11:53:47	47.0
2021-06-17 11:58:47	47.0
2021-06-17 12:03:47	47.0
2021-06-17 12:08:47	47.0
2021-06-17 12:13:47	47.0
2021-06-17 12:18:47	47.0
2021-06-17 12:23:47	47.0
2021-06-17 12:28:47	47.0
2021-06-17 12:33:47	47.0
2021-06-17 12:38:47	47.0
2021-06-17 12:43:47	47.0
2021-06-17 12:48:47	47.0
2021-06-17 12:53:47	47.0
2021-06-17 12:58:47	47.0
2021-06-17 13:03:47	47.0
2021-06-17 13:08:47	47.0
2021-06-17 13:13:47	47.0
2021-06-17 13:18:47	47.0
2021-06-17 13:23:47	47.0
2021-06-17 13:28:47	47.0
2021-06-17 13:33:47	47.0
2021-06-17 13:38:47	47.0
2021-06-17 13:43:47	47.0
2021-06-17 13:48:47	47.0
2021-06-17 13:53:47	47.0
2021-06-17 13:58:47	47.0
2021-06-17 14:03:47	47.0
2021-06-17 14:08:47	47.0
2021-06-17 14:13:47	47.0
2021-06-17 14:18:47	47.0
2021-06-17 14:23:47	47.0
2021-06-17 14:28:47	47.0
2021-06-17 14:33:47	47.0
2021-06-17 14:38:47	47.0
2021-06-17 14:43:47	47.0
2021-06-17 14:48:47	47.0
2021-06-17 14:53:47	47.0
2021-06-17 14:58:47	47.0
2021-06-17 15:03:47	47.0
2021-06-17 15:08:47	47.0
2021-06-17 15:13:47	47.0
2021-06-17 15:18:47	47.0
2021-06-17 15:23:47	47.0
2021-06-17 15:28:47	47.0
2021-06-17 15:33:47	47.0
2021-06-17 15:38:47	47.0
2021-06-17 15:43:47	47.0
2021-06-17 15:48:47	47.0
2021-06-17 15:53:47	47.0
2021-06-17 15:58:47	47.0
2021-06-17 16:03:47	47.0
2021-06-17 16:08:47	47.0
2021-06-17 16:13:47	47.0
2021-06-17 16:18:47	47.0
2021-06-17 16:23:47	47.0
2021-06-17 16:28:47	47.0
2021-06-17 16:33:47	47.0
2021-06-17 16:38:47	47.0
2021-06-17 16:43:47	47.0
2021-06-17 16:48:47	47.0
2021-06-17 16:53:47	47.0
2021-06-17 16:58:47	47.0
2021-06-17 17:03:47	47.0
2021-06-17 17:08:47	47.0
2021-06-17 17:13:47	47.0
2021-06-17 17:18:47	47.0
2021-06-17 17:23:47	47.0
2021-06-17 17:28:47	47.0
2021-06-17 17:33:47	47.0
2021-06-17 17:38:47	47.0
2021-06-17 17:43:47	47.0
2021-06-17 17:48:47	47.0
2021-06-17 17:53:47	47.0
2021-06-17 17:58:47	47.0
2021-06-17 18:03:47	47.0
2021-06-17 18:08:47	47.0
2021-06-17 18:13:47	47.0
2021-06-17 18:18:47	47.0
2021-06-17 18:23:47	47.0
2021-06-17 18:28:47	47.0
2021-06-17 18:33:47	47.0
2021-06-17 18:38:47	47.0
2021-06-17 18:43:47	47.0
2021-06-17 18:48:47	47.0
2021-06-17 18:53:47	47.0
2021-06-17 18:58:47	47.0
2021-06-17 19:03:47	47.0
2021-06-17 19:08:47	47.0
2021-06-17 19:13:47	47.0
2021-06-17 19:18:47	47.0
2021-06-17 19:23:47	47.0
2021-06-17 19:28:47	47.0
2021-06-17 19:33:47	47.0
2021-06-17 19:38:47	47.0
2021-06-17 19:43:47	47.0
2021-06-17 19:48:47	47.0
2021-06-17 19:53:47	47.0
2021-06-17 19:58:47	47.0
2021-06-17 20:03:47	47.0
2021-06-17 20:08:47	47.0
2021-06-17 20:13:47	47.0
2021-06-17 20:18:47	47.0
2021-06-17 20:23:47	47.0
2021-06-17 20:28:47	47.0
2021-06-17 20:33:47	47.0
2021-06-17 20:38:47	47.0
2021-06-17 20:43:47	47.0
2021-06-17 20:48:47	47.0
2021-06-17 20:53:47	47.0
2021-06-17 20:58:47	47.0
2021-06-17 21:03:47	47.0
2021-06-17 21:08:47	47.0
2021-06-17 21:13:47	47.0
2021-06-17 21:18:47	47.0
2021-06-17 21:23:47	47.0
2021-06-17 21:28:47	47.0
2021-06-17 21:33:47	47.0
2021-06-17 21:38:47	47.0
2021-06-17 21:43:47	47.0
2021-06-17 21:48:47	47.0
2021-06-17 21:53:47	47.0
2021-06-17 21:58:47	47.0
2021-06-17 22:03:47	47.0
2021-06-17 22:08:47	47.0
2021-06-17 22:13:47	47.0
2021-06-17 22:18:47	47.0
2021-06-17 22:23:47	47.0
2021-06-17 22:28:47	47.0
2021-06-17 22:33:47	47.0
2021-06-17 22:38:47	47.0
2021-06-17 22:43:47	47.0
2021-06-17 22:48:47	47.0
2021-06-17 22:53:47	47.0
2021-06-17 22:58:47	47.0
2021-06-17 23:03:47	47.0
2021-06-17 23:08:47	47.0
2021-06-17 23:13:47	47.0
2021-06-17 23:18:47	47.0
2021-06-17 23:23:47	47.0
2021-06-17 23:28:47	47.0
2021-06-17 23:33:47	47.0
2021-06-17 23:38:47	47.0
2021-06-17 23:43:47	47.0
2021-06-17 23:48:47	47.0
2021-06-17 23:53:47	47.0
2021-06-17 23:58:47	47.0
2021-06-18 00:03:47	47.0
2021-06-18 00:08:47	47.0
2021-06-18 00:13:47	47.0
2021-06-18 00:18:47	47.0
2021-06-18 00:23:47	47.0
2021-06-18 00:28:47	47.0
2021-06-18 00:33:47	47.0
2021-06-18 00:38:47	47.0
2021-06-18 00:43:47	47.0
2021-06-18 00:48:47	47.0
2021-06-18 00:53:47	47.0
2021-06-18 00:58:47	47.0
2021-06-18 01:03:47	47.0
2021-06-18 01:08:47	47.0
2021-06-18 01:13:47	47.0
